"","STATE","DISTRICT","TEH_NAME","BLOCK_NAME","LAT","LON","SITE_NAME","SITE_TYPE","WLCODE","YEAR_OBS","MONSOON","POMRB","POMKH","PREMON","temp_pomrb","temp_premon","temp_monsoon","temp_pomkh","year","STATE_UT_NAME","rain_pomrb","rain_premon","rain_monsoon","rain_pomkh"
"1","TG","Khammam","Burgampahad","Burgampahad",17.66666667,80.88333333,"Badrachalam","Dug Well","W03914",2002,"4.8","7","6.28","10.48",26.662,32.65533333,29.194,25.67066667,2002,"ANDHRA PRADESH",7.4,75.56666667,236.7,45.3
"2","TG","Khammam","Cherla","Dummagudem",17.91666667,80.91666667,"Parnasala","Dug Well","W04793",2002,"8.5","9.03","9","10.3",26.662,32.65533333,29.194,25.67066667,2002,"ANDHRA PRADESH",7.4,75.56666667,236.7,45.3
"3","TG","Khammam","Palvancha","Palwancha",17.59444444,80.71666667,"Kesavapuram","Dug Well","W04299",2002,"8.24","6.14","8.04","8.87",26.662,32.65533333,29.194,25.67066667,2002,"ANDHRA PRADESH",7.4,75.56666667,236.7,45.3
"4","TG","Khammam","Chintur","Chintur",17.83333333,81.66666667,"Mothugundam","Dug Well","W04797",2002,"1.2","1.43","1.9","3.4",26.662,32.65533333,29.194,25.67066667,2002,"ANDHRA PRADESH",7.4,75.56666667,236.7,45.3
"5","TG","Khammam","Chintur","Chintur",17.74166667,81.52333333,"Lakkavaram","Dug Well","W04796",2002,"4.75","6.42","5.8","8.3",26.662,32.65533333,29.194,25.67066667,2002,"ANDHRA PRADESH",7.4,75.56666667,236.7,45.3
"6","TG","Khammam","Chintur","Chintur",17.75,81.58333333,"Chinturu","Dug Well","W04038",2002,"5.03","5.23","5.51","7.21",26.662,32.65533333,29.194,25.67066667,2002,"ANDHRA PRADESH",7.4,75.56666667,236.7,45.3
"7","TG","Khammam","Chintur","Chintur",17.75444444,81.17138889,"Edugarallapalli","Dug Well","W04039",2002,"4.73","5.8","5","8.4",26.662,32.65533333,29.194,25.67066667,2002,"ANDHRA PRADESH",7.4,75.56666667,236.7,45.3
"8","TG","Khammam","Chintur","Chintur",17.775,81.28611111,"Sarivela","Dug Well","W04799",2002,"3.08","3.77","3.4","5.5",26.662,32.65533333,29.194,25.67066667,2002,"ANDHRA PRADESH",7.4,75.56666667,236.7,45.3
"9","TG","Khammam","Tekulapalli","Tekulapalli",17.57361111,80.62916667,"Kothagudem-1","Tube Well","W04303",2002,"15.35","3.52","16.07","15.25",26.662,32.65533333,29.194,25.67066667,2002,"ANDHRA PRADESH",7.4,75.56666667,236.7,45.3
"10","TG","Khammam","Bayyaram","Bayyaram",17.6,80.15,"Gandhampally","Dug Well","W04281",2002,"3.6","4.35","8.2","8.32",26.662,32.65533333,29.194,25.67066667,2002,"ANDHRA PRADESH",7.4,75.56666667,236.7,45.3
"11","TG","Khammam","Bayyaram","Bayyaram",17.56666667,80.24166667,"Nehrunagar","Dug Well","W04790",2002,"2.95","7.7","7.85","10.36",26.662,32.65533333,29.194,25.67066667,2002,"ANDHRA PRADESH",7.4,75.56666667,236.7,45.3
"12","TG","Khammam","Yellandu","Yellandu",17.61611111,80.35416667,"Yellanadu","Dug Well","W04823",2002,"3.26","3.77","4.36","4.42",26.662,32.65533333,29.194,25.67066667,2002,"ANDHRA PRADESH",7.4,75.56666667,236.7,45.3
"13","TG","Khammam","Yellandu","Yellandu",17.575,80.3375,"Yellandu-1","Bore Well","W04824",2002,"1.4","'0","3.17","8.51",26.662,32.65533333,29.194,25.67066667,2002,"ANDHRA PRADESH",7.4,75.56666667,236.7,45.3
"14","TG","Khammam","Bhadrachalam","Bhadrachalam",17.73333333,81.1,"Lakshmipuram","Dug Well","W04791",2002,"5.33","5.75","6.6","8.3",26.662,32.65533333,29.194,25.67066667,2002,"ANDHRA PRADESH",7.4,75.56666667,236.7,45.3
"15","TG","Khammam","Dammapeta","Dammapeta",17.30416667,80.92083333,"Gandugulapalli-2","Tube Well","W04283",2002,"15.47","15.62","15.6","16.7",26.662,32.65533333,29.194,25.67066667,2002,"ANDHRA PRADESH",7.4,75.56666667,236.7,45.3
"16","TG","Khammam","Dammapeta","Dammapeta",17.30416667,80.96666667,"Yedulla Bayyaram","Dug Well","W04801",2002,"2.55","'0","'0","5.21",26.662,32.65533333,29.194,25.67066667,2002,"ANDHRA PRADESH",7.4,75.56666667,236.7,45.3
"17","TG","Khammam","Malkalapalli","Mulakalapalli",17.43333333,80.875,"Jagannathapuram","Dug Well","W04298",2002,"3.28","6.06","3.66","7.44",26.662,32.65533333,29.194,25.67066667,2002,"ANDHRA PRADESH",7.4,75.56666667,236.7,45.3
"18","TG","Khammam","Tekulapalli","Tekulapalli",17.61666667,80.50833333,"Madira1","Bore Well","W04816",2002,"3.05","3.72","'0","7.47",26.662,32.65533333,29.194,25.67066667,2002,"ANDHRA PRADESH",7.4,75.56666667,236.7,45.3
"19","TG","Khammam","Tekulapalli","Tekulapalli",17.56666667,80.5,"Tekulapally","Dug Well","W04818",2002,"3.7","5.52","6.1","10.32",26.662,32.65533333,29.194,25.67066667,2002,"ANDHRA PRADESH",7.4,75.56666667,236.7,45.3
"20","TG","Khammam","Enkur","Enkur",17.37916667,80.38055556,"Rajalingala","Dug Well","W04805",2002,"7.8","7.95","8.2","8.3",26.662,32.65533333,29.194,25.67066667,2002,"ANDHRA PRADESH",7.4,75.56666667,236.7,45.3
"21","TG","Khammam","Enkur","Enkur",17.33416667,80.43361111,"Enkur","Bore Well","W04042",2002,"7.95","6.41","10.55","10.2",26.662,32.65533333,29.194,25.67066667,2002,"ANDHRA PRADESH",7.4,75.56666667,236.7,45.3
"22","TG","Khammam","Chandrugonda","Chandrugonda",17.375,80.63333333,"Chandragonda","Dug Well","W04035",2002,"4.01","8.72","8.45","8.68",26.662,32.65533333,29.194,25.67066667,2002,"ANDHRA PRADESH",7.4,75.56666667,236.7,45.3
"23","TG","Khammam","Kamepalli","Kamepalli",17.42083333,80.25416667,"Kothalingala","Dug Well","W04290",2002,"9.84","9.56","8.84","9.84",26.662,32.65533333,29.194,25.67066667,2002,"ANDHRA PRADESH",7.4,75.56666667,236.7,45.3
"24","TG","Khammam","Aswaraopet","Aswaraopet",17.33333333,81.15,"Vinayakapuram","Dug Well","W04789",2002,"8.05","7.96","8.75","8.72",26.662,32.65533333,29.194,25.67066667,2002,"ANDHRA PRADESH",7.4,75.56666667,236.7,45.3
"25","TG","Khammam","Aswaraopet","Aswaraopet",17.39583333,81.08333333,"Aspaka","Dug Well","W03833",2002,"3.21","4.04","2.69","6.05",26.662,32.65533333,29.194,25.67066667,2002,"ANDHRA PRADESH",7.4,75.56666667,236.7,45.3
"26","TG","Khammam","Garla","Garla",17.525,80.14583333,"Garla-1","Bore Well","W04286",2002,"4.18","4.15","4.08","8.6",26.662,32.65533333,29.194,25.67066667,2002,"ANDHRA PRADESH",7.4,75.56666667,236.7,45.3
"27","TG","Khammam","Dammapeta","Dammapeta",17.25944444,81.0125,"Dhammapeta","Dug Well","W04040",2002,".48","3.13","2.83","4.01",26.662,32.65533333,29.194,25.67066667,2002,"ANDHRA PRADESH",7.4,75.56666667,236.7,45.3
"28","TG","Khammam","Garla","Garla",17.4875,80.13777778,"Garla-PZ 1","Bore Well","W04287",2002,"5","7.19","5.64","11.35",26.662,32.65533333,29.194,25.67066667,2002,"ANDHRA PRADESH",7.4,75.56666667,236.7,45.3
"29","TG","Khammam","Garla","Garla",17.49166667,80.14583333,"Kunavaram-1","Dug Well","W04288",2002,"1.95","3.68","3.6","5.65",26.662,32.65533333,29.194,25.67066667,2002,"ANDHRA PRADESH",7.4,75.56666667,236.7,45.3
"30","TG","Khammam","Talada","Thallada",17.21138889,80.53388889,"Kallur1","Dug Well","W04302",2002,".87","1.98","1.8","3.64",26.662,32.65533333,29.194,25.67066667,2002,"ANDHRA PRADESH",7.4,75.56666667,236.7,45.3
"31","TG","Khammam","Santhupalli","Sathupalli",17.1825,80.89305556,"Gangavaram2","Dug Well","W04300",2002,"2.8","6.63","4.95","8.25",26.662,32.65533333,29.194,25.67066667,2002,"ANDHRA PRADESH",7.4,75.56666667,236.7,45.3
"32","TG","Khammam","Santhupalli","Sathupalli",17.21666667,80.86666667,"Kistaram","Dug Well","W04301",2002,"9.9","9.5","9.3","9.9",26.662,32.65533333,29.194,25.67066667,2002,"ANDHRA PRADESH",7.4,75.56666667,236.7,45.3
"33","TG","Khammam","Tirumalayapalem","Tirumalalayapelm",17.29083333,79.92388889,"Nayakangudem1","Dug Well","W04819",2002,"5.16","4.01","4.66","4.09",26.662,32.65533333,29.194,25.67066667,2002,"ANDHRA PRADESH",7.4,75.56666667,236.7,45.3
"34","TG","Khammam","Talada","Thallada",17.21666667,80.425,"Tallada","Dug Well","W04815",2002,".92","2.75","1.85","4.25",26.662,32.65533333,29.194,25.67066667,2002,"ANDHRA PRADESH",7.4,75.56666667,236.7,45.3
"35","TG","Khammam","Penuballi","Penuballi",17.25416667,80.76972222,"Sitarampuram","Dug Well","W04811",2002,"3.93","4.06","3.66","5.54",26.662,32.65533333,29.194,25.67066667,2002,"ANDHRA PRADESH",7.4,75.56666667,236.7,45.3
"36","TG","Khammam","Penuballi","Penuballi",17.20694444,80.76388889,"Sattupalle(pn)","Bore Well","W04810",2002,"10.81","8.28","'0","10.51",26.662,32.65533333,29.194,25.67066667,2002,"ANDHRA PRADESH",7.4,75.56666667,236.7,45.3
"37","TG","Khammam","Penuballi","Penuballi",17.20888889,80.78055556,"Annapareddipalli","Dug Well","W03835",2002,"7.3","8.12","7.9","9.1",26.662,32.65533333,29.194,25.67066667,2002,"ANDHRA PRADESH",7.4,75.56666667,236.7,45.3
"38","TG","Khammam","Pinapaka","Pinapaka",18.125,80.725,"Edira","Dug Well","W04043",2002,"'0","6.49","4.6","9.5",26.662,32.65533333,29.194,25.67066667,2002,"ANDHRA PRADESH",7.4,75.56666667,236.7,45.3
"39","TG","Khammam","Cherla","Cherla",18.03333333,80.85,"Tegad","Dug Well","W04795",2002,"8.27","11.27","10.82","13.32",26.662,32.65533333,29.194,25.67066667,2002,"ANDHRA PRADESH",7.4,75.56666667,236.7,45.3
"40","TG","Khammam","Cherla","Cherla",18.04166667,80.85,"Cherla","Bore Well","W04037",2002,"'0","18.88","21.65","21.62",26.662,32.65533333,29.194,25.67066667,2002,"ANDHRA PRADESH",7.4,75.56666667,236.7,45.3
"41","TG","Khammam","Wazeed","Wazeedu",18.3,80.55,"Venkatapuram2","Dug Well","W04822",2002,"'0","9.77","9.18","11.8",26.662,32.65533333,29.194,25.67066667,2002,"ANDHRA PRADESH",7.4,75.56666667,236.7,45.3
"42","TG","Khammam","Wazeed","Wazeedu",18.375,80.53333333,"Pragallapalle","Dug Well","W04821",2002,"'0","2.33","2.1","3.34",26.662,32.65533333,29.194,25.67066667,2002,"ANDHRA PRADESH",7.4,75.56666667,236.7,45.3
"43","TG","Khammam","Kusumanchi","Kusumanchi",17.225,80.05,"Tallampad","Dug Well","W04807",2002,"3.45","3.7","6.75","5.43",26.662,32.65533333,29.194,25.67066667,2002,"ANDHRA PRADESH",7.4,75.56666667,236.7,45.3
"44","TG","Khammam","Julurpad","Julurpad",17.49166667,80.50833333,"Sujatanagaram","Dug Well","W04806",2002,"4.8","7.05","9.85","9.93",26.662,32.65533333,29.194,25.67066667,2002,"ANDHRA PRADESH",7.4,75.56666667,236.7,45.3
"45","TG","Khammam","Nelakondapalli","Nelakondapalli",17.06666667,80.01666667,"Madharam","Bore Well","W04809",2002,"1.15","4.53","7.7","8.8",26.662,32.65533333,29.194,25.67066667,2002,"ANDHRA PRADESH",7.4,75.56666667,236.7,45.3
"46","TG","Khammam","Warangal","Madhira",16.91666667,80.35694444,"Sampathnagar","Dug Well","W04820",2002,"2.9","5.12","4.9","7.45",26.662,32.65533333,29.194,25.67066667,2002,"ANDHRA PRADESH",7.4,75.56666667,236.7,45.3
"47","TG","Khammam","Chandrugonda","Chandrugonda",17.31666667,80.73333333,"Erragunta","Dug Well","W04036",2002,"6.59","6.59","6.37","6.59",26.662,32.65533333,29.194,25.67066667,2002,"ANDHRA PRADESH",7.4,75.56666667,236.7,45.3
"48","TG","Khammam","Aswapuram","Aswapuram",17.85444444,80.89527778,"Dummagudem","Dug Well","W04034",2002,"7.47","9.16","8.85","10.33",26.662,32.65533333,29.194,25.67066667,2002,"ANDHRA PRADESH",7.4,75.56666667,236.7,45.3
"49","TG","Khammam","Bhadrachalam","Bhadrachalam",17.65444444,81.07611111,"Thotapally","Dug Well","W04792",2002,"13.3","7.57","14.75","15.09",26.662,32.65533333,29.194,25.67066667,2002,"ANDHRA PRADESH",7.4,75.56666667,236.7,45.3
"50","TG","Khammam","Kothagudem","Kothagudem",17.54583333,80.65,"Kottagudem","Dug Well","W04295",2002,"6.07","6.76","7.22","6.89",26.662,32.65533333,29.194,25.67066667,2002,"ANDHRA PRADESH",7.4,75.56666667,236.7,45.3
"51","TG","Khammam","Burgampahad","Burgampahad",17.66666667,80.88333333,"Badrachalam","Dug Well","W03914",2001,"3.03","6.8","5.23","9.28",26.74966667,31.938,29.08833333,26.04433333,2001,"ANDHRA PRADESH",7.4,75.56666667,236.7,45.3
"52","TG","Khammam","Cherla","Dummagudem",17.91666667,80.91666667,"Parnasala","Dug Well","W04793",2001,"6.3","8.81","8.52","9.6",26.74966667,31.938,29.08833333,26.04433333,2001,"ANDHRA PRADESH",7.4,75.56666667,236.7,45.3
"53","TG","Khammam","Palvancha","Palwancha",17.59444444,80.71666667,"Kesavapuram","Dug Well","W04299",2001,"3.91","5.1","4.54","8.87",26.74966667,31.938,29.08833333,26.04433333,2001,"ANDHRA PRADESH",7.4,75.56666667,236.7,45.3
"54","TG","Khammam","Chintur","Chintur",17.83333333,81.66666667,"Mothugundam","Dug Well","W04797",2001,".27","1.42","1.03","1.65",26.74966667,31.938,29.08833333,26.04433333,2001,"ANDHRA PRADESH",7.4,75.56666667,236.7,45.3
"55","TG","Khammam","Chintur","Chintur",17.74166667,81.52333333,"Lakkavaram","Dug Well","W04796",2001,"2.13","6.02","5.55","5.9",26.74966667,31.938,29.08833333,26.04433333,2001,"ANDHRA PRADESH",7.4,75.56666667,236.7,45.3
"56","TG","Khammam","Chintur","Chintur",17.75,81.58333333,"Chinturu","Dug Well","W04038",2001,"1.6","4.63","4.21","6.81",26.74966667,31.938,29.08833333,26.04433333,2001,"ANDHRA PRADESH",7.4,75.56666667,236.7,45.3
"57","TG","Khammam","Chintur","Chintur",17.75444444,81.17138889,"Edugarallapalli","Dug Well","W04039",2001,"3.07","5.54","4.65","7.5",26.74966667,31.938,29.08833333,26.04433333,2001,"ANDHRA PRADESH",7.4,75.56666667,236.7,45.3
"58","TG","Khammam","Chintur","Chintur",17.775,81.28611111,"Sarivela","Dug Well","W04799",2001,"2.16","3.41","3.05","4.7",26.74966667,31.938,29.08833333,26.04433333,2001,"ANDHRA PRADESH",7.4,75.56666667,236.7,45.3
"59","TG","Khammam","Tekulapalli","Tekulapalli",17.57361111,80.62916667,"Kothagudem-1","Tube Well","W04303",2001,"14.61","4.68","2.93","'0",26.74966667,31.938,29.08833333,26.04433333,2001,"ANDHRA PRADESH",7.4,75.56666667,236.7,45.3
"60","TG","Khammam","Bayyaram","Bayyaram",17.6,80.15,"Gandhampally","Dug Well","W04281",2001,"3.81","4.24","2.1","7.1",26.74966667,31.938,29.08833333,26.04433333,2001,"ANDHRA PRADESH",7.4,75.56666667,236.7,45.3
"61","TG","Khammam","Bayyaram","Bayyaram",17.56666667,80.24166667,"Nehrunagar","Dug Well","W04790",2001,"4.17","8.87","5.91","11.2",26.74966667,31.938,29.08833333,26.04433333,2001,"ANDHRA PRADESH",7.4,75.56666667,236.7,45.3
"62","TG","Khammam","Yellandu","Yellandu",17.61611111,80.35416667,"Yellanadu","Dug Well","W04823",2001,"3.99","4.21","7.96","8.06",26.74966667,31.938,29.08833333,26.04433333,2001,"ANDHRA PRADESH",7.4,75.56666667,236.7,45.3
"63","TG","Khammam","Bhadrachalam","Bhadrachalam",17.73333333,81.1,"Lakshmipuram","Dug Well","W04791",2001,"3.62","6.62","5.82","7.7",26.74966667,31.938,29.08833333,26.04433333,2001,"ANDHRA PRADESH",7.4,75.56666667,236.7,45.3
"64","TG","Khammam","Dammapeta","Dammapeta",17.30416667,80.92083333,"Gandugulapalli-2","Tube Well","W04283",2001,"'0","15.93","15.1","12.7",26.74966667,31.938,29.08833333,26.04433333,2001,"ANDHRA PRADESH",7.4,75.56666667,236.7,45.3
"65","TG","Khammam","Malkalapalli","Mulakalapalli",17.43333333,80.875,"Jagannathapuram","Dug Well","W04298",2001,"5.88","6.06","5.56","7.41",26.74966667,31.938,29.08833333,26.04433333,2001,"ANDHRA PRADESH",7.4,75.56666667,236.7,45.3
"66","TG","Khammam","Tekulapalli","Tekulapalli",17.61666667,80.50833333,"Madira1","Bore Well","W04816",2001,"3.74","2.81","'0","'0",26.74966667,31.938,29.08833333,26.04433333,2001,"ANDHRA PRADESH",7.4,75.56666667,236.7,45.3
"67","TG","Khammam","Tekulapalli","Tekulapalli",17.56666667,80.5,"Tekulapally","Dug Well","W04818",2001,"3.42","7.01","6.84","5.35",26.74966667,31.938,29.08833333,26.04433333,2001,"ANDHRA PRADESH",7.4,75.56666667,236.7,45.3
"68","TG","Khammam","Enkur","Enkur",17.37916667,80.38055556,"Rajalingala","Dug Well","W04805",2001,"5.32","6.89","7.1","9.7",26.74966667,31.938,29.08833333,26.04433333,2001,"ANDHRA PRADESH",7.4,75.56666667,236.7,45.3
"69","TG","Khammam","Enkur","Enkur",17.33416667,80.43361111,"Enkur","Bore Well","W04042",2001,"12.27","2.57","6.35","8.25",26.74966667,31.938,29.08833333,26.04433333,2001,"ANDHRA PRADESH",7.4,75.56666667,236.7,45.3
"70","TG","Khammam","Chandrugonda","Chandrugonda",17.375,80.63333333,"Chandragonda","Dug Well","W04035",2001,"5.52","'0","9.2","9.98",26.74966667,31.938,29.08833333,26.04433333,2001,"ANDHRA PRADESH",7.4,75.56666667,236.7,45.3
"71","TG","Khammam","Kamepalli","Kamepalli",17.42083333,80.25416667,"Kothalingala","Dug Well","W04290",2001,"9.84","6.91","9.84","9.84",26.74966667,31.938,29.08833333,26.04433333,2001,"ANDHRA PRADESH",7.4,75.56666667,236.7,45.3
"72","TG","Khammam","Aswaraopet","Aswaraopet",17.33333333,81.15,"Vinayakapuram","Dug Well","W04789",2001,"7.25","5.33","7.9","7.15",26.74966667,31.938,29.08833333,26.04433333,2001,"ANDHRA PRADESH",7.4,75.56666667,236.7,45.3
"73","TG","Khammam","Aswaraopet","Aswaraopet",17.39583333,81.08333333,"Aspaka","Dug Well","W03833",2001,"5.22","2.73","2.57","'0",26.74966667,31.938,29.08833333,26.04433333,2001,"ANDHRA PRADESH",7.4,75.56666667,236.7,45.3
"74","TG","Khammam","Garla","Garla",17.525,80.14583333,"Garla-1","Bore Well","W04286",2001,"'0","3.97","3.3","6.66",26.74966667,31.938,29.08833333,26.04433333,2001,"ANDHRA PRADESH",7.4,75.56666667,236.7,45.3
"75","TG","Khammam","Dammapeta","Dammapeta",17.25944444,81.0125,"Dhammapeta","Dug Well","W04040",2001,".61","3.4","3.13","2.63",26.74966667,31.938,29.08833333,26.04433333,2001,"ANDHRA PRADESH",7.4,75.56666667,236.7,45.3
"76","TG","Khammam","Garla","Garla",17.4875,80.13777778,"Garla-PZ 1","Bore Well","W04287",2001,"2.01","7.06","4.2","9.45",26.74966667,31.938,29.08833333,26.04433333,2001,"ANDHRA PRADESH",7.4,75.56666667,236.7,45.3
"77","TG","Khammam","Garla","Garla",17.49166667,80.14583333,"Kunavaram-1","Dug Well","W04288",2001,"4.07","3.53","2.93","5.62",26.74966667,31.938,29.08833333,26.04433333,2001,"ANDHRA PRADESH",7.4,75.56666667,236.7,45.3
"78","TG","Khammam","Talada","Thallada",17.21138889,80.53388889,"Kallur1","Dug Well","W04302",2001,".22","2.17",".85","4.18",26.74966667,31.938,29.08833333,26.04433333,2001,"ANDHRA PRADESH",7.4,75.56666667,236.7,45.3
"79","TG","Khammam","Santhupalli","Sathupalli",17.1825,80.89305556,"Gangavaram2","Dug Well","W04300",2001,"3.57","4.61","5.05","2.85",26.74966667,31.938,29.08833333,26.04433333,2001,"ANDHRA PRADESH",7.4,75.56666667,236.7,45.3
"80","TG","Khammam","Santhupalli","Sathupalli",17.21666667,80.86666667,"Kistaram","Dug Well","W04301",2001,"1.05","6","9.9","9.9",26.74966667,31.938,29.08833333,26.04433333,2001,"ANDHRA PRADESH",7.4,75.56666667,236.7,45.3
"81","TG","Khammam","Tirumalayapalem","Tirumalalayapelm",17.29083333,79.92388889,"Nayakangudem1","Dug Well","W04819",2001,"4.38","2.9","3.8","5.09",26.74966667,31.938,29.08833333,26.04433333,2001,"ANDHRA PRADESH",7.4,75.56666667,236.7,45.3
"82","TG","Khammam","Talada","Thallada",17.21666667,80.425,"Tallada","Dug Well","W04815",2001,".7","2.52","1.55","2.55",26.74966667,31.938,29.08833333,26.04433333,2001,"ANDHRA PRADESH",7.4,75.56666667,236.7,45.3
"83","TG","Khammam","Penuballi","Penuballi",17.25416667,80.76972222,"Sitarampuram","Dug Well","W04811",2001,"1.77","4.05","3.64","5.84",26.74966667,31.938,29.08833333,26.04433333,2001,"ANDHRA PRADESH",7.4,75.56666667,236.7,45.3
